"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.27749999999999997","0.1","0.44"
"200000","0.3625","0.14","0.56"
"300000","0.4825","0.34","0.58"
"400000","0.4975","0.28","0.66"
"500000","0.5800000000000001","0.54","0.7"
"600000","0.615","0.42","0.88"
"700000","0.655","0.36","0.84"
"800000","0.6075000000000002","0.48","0.7"
"900000","0.7075","0.56","0.9"
"1000000","0.7","0.58","0.78"
