"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.4724999999999999","0.36","0.72"
"200000","0.6625000000000001","0.5","0.82"
"300000","0.6599999999999999","0.5","0.82"
"400000","0.6875000000000001","0.44","0.86"
"500000","0.655","0.44","0.76"
"600000","0.6525","0.48","0.82"
"700000","0.69","0.6","0.82"
"800000","0.6175","0.42","0.76"
"900000","0.6950000000000001","0.54","0.86"
"1000000","0.5725","0.16","0.76"
