"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.28500000000000003","0.1","0.62"
"200000","0.41500000000000004","0.12","0.58"
"300000","0.3625","0.18","0.52"
"400000","0.5175000000000001","0.18","0.8"
"500000","0.6025","0.42","0.8"
"600000","0.6175","0.36","0.86"
"700000","0.65","0.4","0.86"
"800000","0.6799999999999999","0.42","0.84"
"900000","0.7599999999999999","0.6","0.84"
"1000000","0.7100000000000001","0.5","0.9"
