"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.37999999999999995","0.12","0.54"
"200000","0.54","0.22","0.72"
"300000","0.5675","0.3","0.72"
"400000","0.645","0.4","0.84"
"500000","0.6925","0.54","0.8"
"600000","0.6975","0.46","0.9"
"700000","0.7000000000000001","0.32","0.92"
"800000","0.6725000000000001","0.1","0.9"
"900000","0.5900000000000001","0.14","0.82"
"1000000","0.6275","0.16","0.9"
