"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.27999999999999997","0.12","0.56"
"200000","0.4125","0.28","0.58"
"300000","0.39749999999999996","0.18","0.68"
"400000","0.51","0.34","0.76"
"500000","0.49250000000000005","0.22","0.66"
"600000","0.5625","0.46","0.74"
"700000","0.535","0.24","0.74"
"800000","0.425","0.14","0.68"
"900000","0.48000000000000004","0.02","0.76"
"1000000","0.52","0.08","0.8"
