"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.2425","0.06","0.48"
"200000","0.32249999999999995","0.16","0.44"
"300000","0.38","0.16","0.56"
"400000","0.48000000000000004","0.2","0.72"
"500000","0.4674999999999999","0.24","0.8"
"600000","0.48000000000000004","0.3","0.66"
"700000","0.5125","0.34","0.62"
"800000","0.5825","0.26","0.92"
"900000","0.6174999999999999","0.44","0.72"
"1000000","0.6475000000000001","0.44","0.9"
