"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.265","0.06","0.44"
"200000","0.335","0.14","0.52"
"300000","0.31750000000000006","0.22","0.4"
"400000","0.48999999999999994","0.38","0.74"
"500000","0.48","0.12","0.76"
"600000","0.5700000000000001","0.38","0.72"
"700000","0.6575000000000001","0.44","0.88"
"800000","0.6225","0.36","0.88"
"900000","0.605","0.46","0.8"
"1000000","0.6775","0.52","0.9"
