"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.38","0.3","0.5"
"200000","0.45999999999999996","0.2","0.72"
"300000","0.5775","0.26","0.74"
"400000","0.5375000000000001","0.34","0.72"
"500000","0.69","0.56","0.8"
"600000","0.7625000000000001","0.62","0.88"
"700000","0.6625","0.58","0.78"
"800000","0.7175","0.54","0.9"
"900000","0.7675000000000001","0.68","0.86"
"1000000","0.6824999999999999","0.52","0.82"
