"Step","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: antmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.36250000000000004","0.12","0.6"
"200000","0.5449999999999999","0.3","0.78"
"300000","0.6725000000000001","0.34","0.82"
"400000","0.6800000000000002","0.48","0.9"
"500000","0.67","0.48","0.8"
"600000","0.755","0.56","0.88"
"700000","0.6675","0.26","0.78"
"800000","0.6550000000000001","0.16","0.8"
"900000","0.6425","0.16","0.82"
"1000000","0.5875","0.2","0.82"
