"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.034999999999999996","0","0.1"
"200000","0.0775","0.02","0.2"
"300000","0.095","0.04","0.16"
"400000","0.15","0.08","0.32"
"500000","0.2525","0.14","0.34"
"600000","0.32","0.22","0.48"
"700000","0.32500000000000007","0.24","0.52"
"800000","0.44749999999999995","0.3","0.58"
"900000","0.40249999999999997","0.28","0.48"
"1000000","0.3575","0.26","0.52"
