"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.035","0","0.08"
"200000","0.05","0","0.12"
"300000","0.0775","0.04","0.16"
"400000","0.0975","0.02","0.2"
"500000","0.1025","0.02","0.2"
"600000","0.11","0.06","0.16"
"700000","0.09750000000000002","0.02","0.16"
"800000","0.1825","0.08","0.3"
"900000","0.10500000000000001","0.06","0.16"
"1000000","0.09499999999999999","0.04","0.16"
