"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0275","0","0.14"
"200000","0.08750000000000001","0.02","0.2"
"300000","0.15000000000000002","0.1","0.24"
"400000","0.18500000000000003","0.04","0.36"
"500000","0.2075","0.16","0.24"
"600000","0.32","0.2","0.48"
"700000","0.365","0.26","0.44"
"800000","0.375","0.2","0.52"
"900000","0.33499999999999996","0.24","0.52"
"1000000","0.4025","0.24","0.46"
