"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.024999999999999998","0","0.06"
"200000","0.07250000000000001","0","0.14"
"300000","0.17","0.06","0.32"
"400000","0.21749999999999997","0.06","0.42"
"500000","0.2625","0.06","0.46"
"600000","0.33999999999999997","0.24","0.42"
"700000","0.37749999999999995","0.24","0.56"
"800000","0.40499999999999997","0.32","0.54"
"900000","0.4325","0.26","0.6"
"1000000","0.40499999999999997","0.32","0.52"
