"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0675","0","0.14"
"200000","0.125","0.08","0.18"
"300000","0.1875","0.1","0.3"
"400000","0.29750000000000004","0.2","0.38"
"500000","0.27","0.14","0.34"
"600000","0.3225","0.22","0.52"
"700000","0.3675","0.18","0.5"
"800000","0.4375","0.3","0.5"
"900000","0.3725","0.28","0.52"
"1000000","0.38","0.26","0.56"
