"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0375","0","0.08"
"200000","0.09000000000000001","0","0.16"
"300000","0.1575","0.04","0.26"
"400000","0.2775","0.16","0.38"
"500000","0.32","0.22","0.42"
"600000","0.36749999999999994","0.26","0.46"
"700000","0.3625","0.24","0.48"
"800000","0.36499999999999994","0.2","0.44"
"900000","0.4175","0.26","0.54"
"1000000","0.4225","0.3","0.5"
