"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.095","0.02","0.16"
"200000","0.1425","0.04","0.2"
"300000","0.2525","0.14","0.34"
"400000","0.29500000000000004","0.2","0.36"
"500000","0.3225","0.26","0.44"
"600000","0.4325","0.32","0.62"
"700000","0.4425","0.34","0.62"
"800000","0.44","0.38","0.5"
"900000","0.4125","0.24","0.54"
"1000000","0.4475","0.24","0.56"
