"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.05250000000000001","0","0.2"
"200000","0.1775","0.08","0.32"
"300000","0.22249999999999998","0.1","0.38"
"400000","0.36249999999999993","0.24","0.44"
"500000","0.3225","0.16","0.48"
"600000","0.435","0.36","0.54"
"700000","0.4325","0.26","0.56"
"800000","0.4775","0.38","0.64"
"900000","0.425","0.32","0.58"
"1000000","0.45249999999999996","0.38","0.52"
