"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.1","0.02","0.26"
"200000","0.14500000000000002","0.08","0.22"
"300000","0.2625","0.1","0.38"
"400000","0.37","0.32","0.4"
"500000","0.35","0.24","0.5"
"600000","0.405","0.24","0.52"
"700000","0.36500000000000005","0.22","0.44"
"800000","0.385","0.24","0.54"
"900000","0.425","0.2","0.52"
"1000000","0.38000000000000006","0.2","0.54"
