"Step","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MIN","env_name: antsoccer-arena-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.045000000000000005","0.02","0.08"
"200000","0.2025","0.14","0.3"
"300000","0.21000000000000002","0.12","0.32"
"400000","0.335","0.26","0.42"
"500000","0.3575","0.2","0.48"
"600000","0.355","0.24","0.52"
"700000","0.345","0.14","0.46"
"800000","0.4125","0.26","0.58"
"900000","0.3775","0.18","0.56"
"1000000","0.44499999999999995","0.28","0.58"
