"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.0225","0","0.06"
"300000","0.08249999999999999","0.04","0.12"
"400000","0.1525","0.06","0.24"
"500000","0.2525","0.14","0.36"
"600000","0.1975","0.12","0.3"
"700000","0.2475","0.14","0.36"
"800000","0.21","0.12","0.34"
"900000","0.2175","0.14","0.34"
"1000000","0.205","0.14","0.26"
