"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0125","0","0.04"
"200000","0.035","0","0.06"
"300000","0.045000000000000005","0","0.08"
"400000","0.07250000000000001","0.04","0.12"
"500000","0.08499999999999999","0","0.18"
"600000","0.0425","0","0.08"
"700000","0.055","0","0.12"
"800000","0.02","0","0.06"
"900000","0.045","0","0.16"
"1000000","0.0125","0","0.02"
