"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0075","0","0.02"
"200000","0.07500000000000001","0.04","0.12"
"300000","0.2975","0.12","0.46"
"400000","0.5775","0.5","0.7"
"500000","0.5900000000000001","0.36","0.7"
"600000","0.755","0.62","0.84"
"700000","0.7300000000000001","0.56","0.82"
"800000","0.7499999999999999","0.7","0.84"
"900000","0.7175","0.6","0.82"
"1000000","0.755","0.68","0.84"
