"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0025","0","0.02"
"200000","0.1575","0.06","0.22"
"300000","0.2625","0.18","0.32"
"400000","0.4125","0.3","0.52"
"500000","0.31000000000000005","0.08","0.4"
"600000","0.2775","0.2","0.38"
"700000","0.265","0.18","0.34"
"800000","0.2125","0.16","0.26"
"900000","0.2225","0.14","0.28"
"1000000","0.23749999999999996","0.16","0.36"
