"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.01","0","0.04"
"300000","0.045000000000000005","0.02","0.06"
"400000","0.1525","0.06","0.26"
"500000","0.1725","0.02","0.28"
"600000","0.19250000000000003","0.1","0.34"
"700000","0.20249999999999999","0.1","0.3"
"800000","0.1","0.04","0.18"
"900000","0.10999999999999999","0.04","0.18"
"1000000","0.12","0.06","0.24"
