"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0075","0","0.04"
"200000","0.07500000000000001","0.02","0.16"
"300000","0.31499999999999995","0.2","0.42"
"400000","0.61","0.32","0.74"
"500000","0.67","0.52","0.8"
"600000","0.7250000000000001","0.58","0.84"
"700000","0.7375","0.68","0.82"
"800000","0.71","0.54","0.8"
"900000","0.7100000000000001","0.64","0.82"
"1000000","0.7275","0.64","0.8"
