"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.01","0","0.02"
"200000","0.0625","0","0.12"
"300000","0.32749999999999996","0.18","0.52"
"400000","0.62","0.46","0.84"
"500000","0.6924999999999999","0.6","0.78"
"600000","0.71","0.64","0.8"
"700000","0.7325","0.64","0.84"
"800000","0.695","0.64","0.82"
"900000","0.7075000000000001","0.52","0.9"
"1000000","0.7175","0.54","0.86"
