"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0125","0","0.04"
"200000","0.15250000000000002","0.02","0.34"
"300000","0.295","0.08","0.42"
"400000","0.3","0.22","0.4"
"500000","0.2225","0.14","0.32"
"600000","0.25","0.14","0.32"
"700000","0.1725","0.08","0.22"
"800000","0.15","0.08","0.2"
"900000","0.175","0.12","0.28"
"1000000","0.14750000000000002","0.04","0.24"
