"Step","env_name: cube-double-play-singletask-v0 - evaluation/success","env_name: cube-double-play-singletask-v0 - evaluation/success__MIN","env_name: cube-double-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0025","0","0.02"
"200000","0.17750000000000002","0.08","0.26"
"300000","0.27","0.22","0.36"
"400000","0.3075","0.22","0.38"
"500000","0.285","0.12","0.4"
"600000","0.21","0.1","0.32"
"700000","0.1775","0.12","0.24"
"800000","0.16749999999999998","0.08","0.28"
"900000","0.14250000000000002","0.1","0.18"
"1000000","0.165","0.1","0.24"
