"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.545","0.42","0.66"
"200000","0.6125","0.4","0.8"
"300000","0.605","0.5","0.68"
"400000","0.66","0.52","0.86"
"500000","0.7125","0.62","0.82"
"600000","0.84","0.6","0.92"
"700000","0.8675","0.76","0.92"
"800000","0.8725","0.8","0.9"
"900000","0.8899999999999999","0.76","0.94"
"1000000","0.9225000000000001","0.9","1"
