"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.8775000000000001","0.68","1"
"200000","0.9275","0.78","1"
"300000","0.9625","0.9","1"
"400000","0.9450000000000001","0.88","1"
"500000","0.9199999999999999","0.86","1"
"600000","0.9275","0.84","0.98"
"700000","0.9075000000000001","0.8","1"
"800000","0.8324999999999999","0.6","0.94"
"900000","0.76","0.64","0.88"
"1000000","0.8125000000000001","0.7","0.9"
