"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.9325000000000001","0.84","1"
"200000","0.9550000000000001","0.92","1"
"300000","0.9624999999999999","0.92","1"
"400000","0.9775","0.9","1"
"500000","0.9874999999999999","0.96","1"
"600000","0.9775","0.94","1"
"700000","0.98","0.94","1"
"800000","0.9749999999999999","0.92","1"
"900000","0.9924999999999999","0.98","1"
"1000000","0.9774999999999999","0.96","1"
