"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.555","0.38","0.74"
"200000","0.6549999999999999","0.42","0.88"
"300000","0.6875","0.56","0.8"
"400000","0.7725","0.72","0.86"
"500000","0.8175000000000001","0.7","0.88"
"600000","0.8224999999999999","0.74","0.94"
"700000","0.8500000000000001","0.78","0.9"
"800000","0.9025000000000001","0.82","0.98"
"900000","0.845","0.78","0.98"
"1000000","0.88","0.82","0.96"
