"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.5675","0.46","0.7"
"200000","0.6900000000000001","0.62","0.76"
"300000","0.625","0.44","0.78"
"400000","0.6725","0.5","0.9"
"500000","0.725","0.62","0.8"
"600000","0.8075000000000001","0.72","0.88"
"700000","0.8175","0.72","0.92"
"800000","0.8600000000000001","0.74","0.94"
"900000","0.8949999999999999","0.84","0.96"
"1000000","0.8925000000000001","0.78","0.96"
