"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.8600000000000001","0.58","0.98"
"200000","0.9249999999999999","0.7","1"
"300000","0.9425000000000001","0.86","1"
"400000","0.9299999999999999","0.86","0.98"
"500000","0.8799999999999999","0.58","0.98"
"600000","0.8674999999999999","0.66","1"
"700000","0.8899999999999999","0.62","0.98"
"800000","0.9450000000000001","0.9","0.98"
"900000","0.9525000000000001","0.9","1"
"1000000","0.9450000000000001","0.92","0.96"
