"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.9224999999999999","0.76","1"
"200000","0.9275000000000001","0.8","1"
"300000","0.9375","0.86","1"
"400000","0.91","0.68","1"
"500000","0.9375","0.84","1"
"600000","0.9199999999999999","0.82","0.96"
"700000","0.9475","0.92","0.98"
"800000","0.9125","0.82","1"
"900000","0.9075000000000001","0.84","1"
"1000000","0.9175","0.66","0.98"
