"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.5975","0.4","0.82"
"200000","0.7125","0.48","0.84"
"300000","0.7225","0.58","0.82"
"400000","0.785","0.68","0.92"
"500000","0.8049999999999999","0.72","0.88"
"600000","0.8674999999999999","0.78","0.94"
"700000","0.87","0.76","0.92"
"800000","0.8250000000000002","0.76","0.94"
"900000","0.8675","0.8","0.94"
"1000000","0.8825000000000001","0.82","0.98"
