"Step","env_name: cube-single-play-singletask-v0 - evaluation/success","env_name: cube-single-play-singletask-v0 - evaluation/success__MIN","env_name: cube-single-play-singletask-v0 - evaluation/success__MAX"
"100000","0.645","0.4","0.84"
"200000","0.6875","0.4","0.84"
"300000","0.7225","0.52","0.86"
"400000","0.79","0.62","0.9"
"500000","0.8350000000000001","0.74","0.92"
"600000","0.8625","0.78","0.92"
"700000","0.8625","0.8","0.9"
"800000","0.8875","0.82","0.96"
"900000","0.85","0.76","0.94"
"1000000","0.89","0.84","0.98"
