"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.005","0","0.02"
"300000","0.0025","0","0.02"
"400000","0.0075","0","0.02"
"500000","0.027499999999999997","0","0.08"
"600000","0.039999999999999994","0","0.08"
"700000","0.04","0","0.08"
"800000","0.0675","0.02","0.12"
"900000","0.060000000000000005","0.02","0.16"
"1000000","0.105","0.06","0.16"
