"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0.0075","0","0.02"
"400000","0.005","0","0.02"
"500000","0.015","0","0.06"
"600000","0.05750000000000001","0.04","0.1"
"700000","0.08249999999999999","0.02","0.18"
"800000","0.08750000000000001","0.02","0.16"
"900000","0.07","0","0.14"
"1000000","0.07999999999999999","0.02","0.16"
