"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.005","0","0.02"
"300000","0.0075","0","0.02"
"400000","0.0175","0","0.06"
"500000","0.027499999999999997","0","0.06"
"600000","0.045","0.02","0.1"
"700000","0.0325","0","0.1"
"800000","0.075","0","0.14"
"900000","0.0925","0","0.24"
"1000000","0.06749999999999999","0","0.14"
