"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.0075","0","0.04"
"300000","0","0","0"
"400000","0.0175","0","0.04"
"500000","0.02","0","0.06"
"600000","0.035","0","0.08"
"700000","0.060000000000000005","0.02","0.12"
"800000","0.05","0","0.08"
"900000","0.052500000000000005","0","0.12"
"1000000","0.085","0.04","0.18"
