"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0.005","0","0.02"
"400000","0.025","0","0.06"
"500000","0.030000000000000002","0","0.04"
"600000","0.024999999999999998","0","0.08"
"700000","0.0425","0","0.1"
"800000","0.0675","0.04","0.14"
"900000","0.08249999999999999","0","0.16"
"1000000","0.09499999999999999","0.04","0.22"
