"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0","0","0"
"300000","0.005","0","0.02"
"400000","0.005","0","0.04"
"500000","0.0325","0","0.08"
"600000","0.0525","0.02","0.08"
"700000","0.085","0.02","0.14"
"800000","0.12","0.06","0.2"
"900000","0.0675","0","0.16"
"1000000","0.09","0.04","0.16"
