"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.005","0","0.02"
"300000","0.01","0","0.04"
"400000","0.005","0","0.04"
"500000","0.0225","0","0.06"
"600000","0.03","0","0.08"
"700000","0.0575","0","0.14"
"800000","0.047499999999999994","0","0.08"
"900000","0.07","0.04","0.12"
"1000000","0.08499999999999999","0.06","0.1"
