"Step","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-large-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.0025","0","0.02"
"300000","0.017499999999999998","0","0.08"
"400000","0.017499999999999998","0","0.08"
"500000","0.01","0","0.02"
"600000","0.025","0","0.08"
"700000","0.042499999999999996","0","0.12"
"800000","0.06249999999999999","0.02","0.16"
"900000","0.0475","0","0.08"
"1000000","0.055","0","0.14"
