"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0225","0","0.08"
"200000","0.07750000000000001","0.02","0.18"
"300000","0.2425","0.08","0.44"
"400000","0.4125","0.32","0.56"
"500000","0.5425","0.46","0.64"
"600000","0.6275","0.48","0.78"
"700000","0.6525000000000001","0.56","0.72"
"800000","0.6625000000000001","0.58","0.8"
"900000","0.6499999999999999","0.46","0.76"
"1000000","0.7200000000000001","0.66","0.78"
