"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.09000000000000001","0","0.28"
"200000","0.195","0","0.38"
"300000","0.27375","0.06","0.44"
"400000","0.33125000000000004","0.2","0.46"
"500000","0.38375000000000004","0.28","0.52"
"600000","0.43374999999999997","0.26","0.62"
"700000","0.45875","0.34","0.62"
"800000","0.485","0.36","0.74"
"900000","0.5037499999999999","0.32","0.7"
"1000000","0.49875","0.32","0.7"
