"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.005","0","0.02"
"200000","0.01","0","0.06"
"300000","0.0675","0","0.18"
"400000","0.1225","0.02","0.24"
"500000","0.1875","0.02","0.4"
"600000","0.2625","0.12","0.38"
"700000","0.33249999999999996","0.14","0.52"
"800000","0.4175","0.26","0.58"
"900000","0.465","0.26","0.66"
"1000000","0.43999999999999995","0.04","0.76"
