"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.005","0","0.02"
"200000","0.022500000000000003","0","0.06"
"300000","0.12000000000000002","0","0.24"
"400000","0.11750000000000001","0","0.28"
"500000","0.285","0","0.44"
"600000","0.30499999999999994","0.04","0.4"
"700000","0.4175","0.26","0.6"
"800000","0.44499999999999995","0.24","0.62"
"900000","0.5175000000000001","0.4","0.64"
"1000000","0.5875","0.28","0.76"
