"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0375","0","0.1"
"200000","0.085","0.02","0.14"
"300000","0.30499999999999994","0.18","0.4"
"400000","0.4","0.2","0.52"
"500000","0.5900000000000001","0.5","0.68"
"600000","0.5475","0.42","0.62"
"700000","0.6000000000000001","0.44","0.7"
"800000","0.59","0.48","0.7"
"900000","0.7024999999999999","0.64","0.82"
"1000000","0.7299999999999999","0.64","0.84"
