"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.015000000000000001","0","0.04"
"200000","0.09749999999999999","0.06","0.22"
"300000","0.3225","0.1","0.48"
"400000","0.455","0.24","0.64"
"500000","0.6024999999999999","0.44","0.72"
"600000","0.6425","0.5","0.82"
"700000","0.6625","0.56","0.76"
"800000","0.6425","0.46","0.72"
"900000","0.665","0.52","0.76"
"1000000","0.7175","0.68","0.78"
