"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.045","0","0.1"
"300000","0.2275","0.06","0.44"
"400000","0.24","0.14","0.44"
"500000","0.3475","0","0.54"
"600000","0.39999999999999997","0","0.6"
"700000","0.3425","0.08","0.48"
"800000","0.40249999999999997","0.22","0.52"
"900000","0.5475000000000001","0.4","0.66"
"1000000","0.525","0.4","0.64"
