"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.04","0","0.08"
"300000","0.1675","0.04","0.26"
"400000","0.315","0.02","0.54"
"500000","0.40249999999999997","0","0.64"
"600000","0.38","0","0.58"
"700000","0.45","0","0.64"
"800000","0.47000000000000003","0.14","0.62"
"900000","0.595","0.26","0.76"
"1000000","0.5375000000000001","0.24","0.7"
