"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.0275","0","0.06"
"200000","0.08249999999999999","0.02","0.18"
"300000","0.2625","0.08","0.38"
"400000","0.42","0.2","0.52"
"500000","0.5725","0.46","0.76"
"600000","0.53","0.34","0.68"
"700000","0.5825","0.48","0.74"
"800000","0.5775","0.54","0.68"
"900000","0.645","0.56","0.7"
"1000000","0.69","0.56","0.8"
