"Step","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MIN","env_name: humanoidmaze-medium-navigate-singletask-v0 - evaluation/success__MAX"
"100000","0.045","0","0.08"
"200000","0.1","0","0.2"
"300000","0.31000000000000005","0.08","0.48"
"400000","0.45499999999999996","0.32","0.64"
"500000","0.6125000000000002","0.42","0.78"
"600000","0.5275000000000001","0.34","0.68"
"700000","0.5525","0.48","0.6"
"800000","0.5750000000000001","0.42","0.76"
"900000","0.6375","0.56","0.76"
"1000000","0.67","0.5","0.76"
