"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.005","0","0.04"
"300000","0.015000000000000001","0","0.04"
"400000","0.025","0","0.04"
"500000","0.015000000000000001","0","0.04"
"600000","0.0225","0","0.04"
"700000","0.0325","0","0.06"
"800000","0.035","0","0.08"
"900000","0.04","0","0.08"
"1000000","0.045","0","0.12"
