"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0025","0","0.02"
"200000","0.015000000000000001","0","0.08"
"300000","0.02","0","0.06"
"400000","0.0375","0","0.16"
"500000","0.0325","0.02","0.06"
"600000","0.0325","0.02","0.06"
"700000","0.042499999999999996","0.02","0.06"
"800000","0.025","0","0.08"
"900000","0.0275","0","0.06"
"1000000","0.045","0","0.08"
