"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0","0","0"
"200000","0.0075","0","0.02"
"300000","0.0125","0","0.06"
"400000","0.0275","0","0.08"
"500000","0.024999999999999998","0","0.06"
"600000","0.052500000000000005","0","0.08"
"700000","0.055","0.02","0.12"
"800000","0.05999999999999999","0","0.16"
"900000","0.075","0.04","0.1"
"1000000","0.065","0","0.12"
