"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0675","0.02","0.12"
"200000","0.09250000000000001","0.02","0.24"
"300000","0.075","0.04","0.1"
"400000","0.0975","0.04","0.16"
"500000","0.07250000000000001","0.02","0.12"
"600000","0.0875","0.04","0.12"
"700000","0.07250000000000001","0.02","0.14"
"800000","0.065","0.02","0.12"
"900000","0.0675","0","0.16"
"1000000","0.095","0.02","0.12"
