"Step","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-3x3-play-singletask-v0 - evaluation/success__MAX"
"100000","0.085","0","0.16"
"200000","0.060000000000000005","0.04","0.1"
"300000","0.065","0.02","0.1"
"400000","0.07500000000000001","0.02","0.14"
"500000","0.0675","0.02","0.14"
"600000","0.08250000000000002","0.06","0.12"
"700000","0.05499999999999999","0","0.1"
"800000","0.0825","0.04","0.12"
"900000","0.06249999999999999","0.02","0.1"
"1000000","0.07","0","0.12"
