"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0275","0","0.1"
"200000","0.05000000000000001","0","0.22"
"300000","0.0925","0.02","0.18"
"400000","0.08","0.02","0.14"
"500000","0.0975","0.02","0.16"
"600000","0.09000000000000001","0","0.22"
"700000","0.11750000000000002","0.06","0.24"
"800000","0.08000000000000002","0.02","0.14"
"900000","0.11750000000000001","0.04","0.16"
"1000000","0.15750000000000003","0.06","0.2"
