"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.035","0","0.26"
"200000","0.042499999999999996","0","0.18"
"300000","0.1325","0.06","0.32"
"400000","0.1625","0.06","0.32"
"500000","0.12250000000000001","0.02","0.2"
"600000","0.15","0.04","0.24"
"700000","0.22750000000000004","0.04","0.4"
"800000","0.22250000000000003","0.08","0.3"
"900000","0.275","0.12","0.46"
"1000000","0.20249999999999999","0.04","0.36"
