"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.0225","0","0.06"
"200000","0.14750000000000002","0.04","0.46"
"300000","0.1925","0.08","0.38"
"400000","0.26","0.14","0.4"
"500000","0.3025","0.22","0.36"
"600000","0.2375","0.16","0.36"
"700000","0.2525","0.18","0.34"
"800000","0.275","0.2","0.36"
"900000","0.24250000000000002","0.14","0.36"
"1000000","0.24750000000000003","0.12","0.36"
