"Step","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MIN","env_name: puzzle-4x4-play-singletask-v0 - evaluation/success__MAX"
"100000","0.005","0","0.04"
"200000","0.17","0.06","0.54"
"300000","0.22749999999999998","0.14","0.34"
"400000","0.2475","0.16","0.4"
"500000","0.24000000000000002","0.1","0.4"
"600000","0.2725","0.24","0.36"
"700000","0.3075","0.2","0.36"
"800000","0.2775","0.16","0.4"
"900000","0.2525","0.12","0.36"
"1000000","0.2625","0.2","0.32"
